official_scenic_id,scenic_name,theme_name_cn,is_satisfaction_topic,theme_review_n,theme_issue_n,theme_high_rating_issue_n,theme_negative_n,theme_avg_sentiment_score,theme_avg_topic_prob,sample_n,priority_score,priority_rank,theme_review_share_total,theme_issue_share_total,theme_high_rating_issue_share_total,theme_negative_share_total,theme_issue_rate_within_theme,theme_negative_rate_within_theme,theme_problem_strength
BJ20_10,司马台长城,现场服务与导览体验,0,8,0,0,0,0.9680708386666729,0.5565896636426156,300,0.47780273548173924,9,0.02666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
BJ20_10,司马台长城,票务预约与入园体验,0,94,19,11,31,0.5534940611819773,0.6687111752690684,300,0.47780273548173924,9,0.31333333333333335,0.06333333333333334,0.03666666666666667,0.10333333333333333,0.20212765957446807,0.32978723404255317,0.06333333333333334
BJ20_10,司马台长城,整体满意与感知评价,1,162,19,9,37,0.6333859602870763,0.7291815799157657,300,0.47780273548173924,9,0.54,0.06333333333333334,0.03,0.12333333333333334,0.11728395061728394,0.22839506172839505,0.06333333333333334
BJ20_05,恭王府,交通与开放空间体验,0,23,2,2,0,0.9735181362352879,0.5537194308126746,300,0.4502983599142941,10,0.07666666666666666,0.006666666666666667,0.006666666666666667,0.0,0.08695652173913043,0.0,0.006666666666666667
BJ20_05,恭王府,现场服务与导览体验,0,123,5,4,6,0.877118928982855,0.7202447390245708,300,0.4502983599142941,10,0.41,0.016666666666666666,0.013333333333333334,0.02,0.04065040650406504,0.04878048780487805,0.016666666666666666
BJ20_05,恭王府,票务预约与入园体验,0,66,15,12,18,0.5629314700781769,0.6286381675992003,300,0.4502983599142941,10,0.22,0.05,0.04,0.06,0.22727272727272727,0.2727272727272727,0.05
BJ20_05,恭王府,整体满意与感知评价,1,56,14,10,12,0.6393180710781375,0.65166714410386,300,0.4502983599142941,10,0.18666666666666668,0.04666666666666667,0.03333333333333333,0.04,0.25,0.21428571428571427,0.04666666666666667
BJ20_19,国家游泳中心,交通与开放空间体验,0,108,5,2,11,0.8400040387904387,0.7111179277557083,300,0.42109400294626337,11,0.36,0.016666666666666666,0.006666666666666667,0.03666666666666667,0.046296296296296294,0.10185185185185185,0.016666666666666666
BJ20_19,国家游泳中心,现场服务与导览体验,0,7,1,0,1,0.8241861727631431,0.6253972003887373,300,0.42109400294626337,11,0.023333333333333334,0.0033333333333333335,0.0,0.0033333333333333335,0.14285714285714285,0.14285714285714285,0.0033333333333333335
BJ20_19,国家游泳中心,票务预约与入园体验,0,56,24,7,35,0.2447873539029238,0.6235547623590934,300,0.42109400294626337,11,0.18666666666666668,0.08,0.023333333333333334,0.11666666666666667,0.42857142857142855,0.625,0.08
BJ20_19,国家游泳中心,整体满意与感知评价,1,102,19,11,39,0.5118915804795504,0.6696472494064729,300,0.42109400294626337,11,0.34,0.06333333333333334,0.03666666666666667,0.13,0.18627450980392157,0.38235294117647056,0.06333333333333334
BJ20_16,香山公园,交通与开放空间体验,0,23,0,0,0,0.9980094835346514,0.6045849040998044,300,0.411213889582588,12,0.07666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
BJ20_16,香山公园,现场服务与导览体验,0,4,1,1,1,0.742606844318192,0.5196264041505224,300,0.411213889582588,12,0.013333333333333334,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.25,0.25,0.0033333333333333335
BJ20_16,香山公园,票务预约与入园体验,0,68,16,8,17,0.6820231981158683,0.680635657346428,300,0.411213889582588,12,0.22666666666666666,0.05333333333333334,0.02666666666666667,0.056666666666666664,0.23529411764705882,0.25,0.05333333333333334
BJ20_16,香山公园,整体满意与感知评价,1,127,14,12,17,0.8004359843773159,0.72280811410871,300,0.411213889582588,12,0.42333333333333334,0.04666666666666667,0.04,0.056666666666666664,0.11023622047244094,0.13385826771653545,0.04666666666666667
BJ20_11,潭柘寺,交通与开放空间体验,0,21,1,1,0,0.9004512793231567,0.5800328987900231,300,0.3741165921913134,13,0.07,0.0033333333333333335,0.0033333333333333335,0.0,0.047619047619047616,0.0,0.0033333333333333335
BJ20_11,潭柘寺,现场服务与导览体验,0,17,0,0,0,0.9208419902061094,0.5953351244248576,300,0.3741165921913134,13,0.056666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
BJ20_11,潭柘寺,票务预约与入园体验,0,184,26,21,25,0.8045574841584741,0.6834559192075699,300,0.3741165921913134,13,0.6133333333333333,0.08666666666666667,0.07,0.08333333333333333,0.14130434782608695,0.1358695652173913,0.08666666666666667
BJ20_11,潭柘寺,整体满意与感知评价,1,46,8,6,6,0.7803218948716134,0.6532493077546544,300,0.3741165921913134,13,0.15333333333333332,0.02666666666666667,0.02,0.02,0.17391304347826086,0.13043478260869565,0.02666666666666667
BJ20_01,故宫博物院,交通与开放空间体验,0,4,0,0,0,0.9965124699345143,0.6169889838209833,300,0.30657819686827864,14,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0
BJ20_01,故宫博物院,现场服务与导览体验,0,208,6,2,9,0.9248855166859656,0.8329826422491942,300,0.30657819686827864,14,0.6933333333333334,0.02,0.006666666666666667,0.03,0.028846153846153848,0.04326923076923077,0.02
BJ20_01,故宫博物院,票务预约与入园体验,0,51,11,8,22,0.39346099664438305,0.6343365151235273,300,0.30657819686827864,14,0.17,0.03666666666666667,0.02666666666666667,0.07333333333333333,0.21568627450980393,0.43137254901960786,0.03666666666666667
BJ20_01,故宫博物院,整体满意与感知评价,1,23,11,8,5,0.6044112424177862,0.6127106645234275,300,0.30657819686827864,14,0.07666666666666666,0.03666666666666667,0.02666666666666667,0.016666666666666666,0.4782608695652174,0.21739130434782608,0.03666666666666667
BJ20_02,颐和园,交通与开放空间体验,0,57,1,1,0,0.9574813931658913,0.6872362642166445,300,0.252515077354387,15,0.19,0.0033333333333333335,0.0033333333333333335,0.0,0.017543859649122806,0.0,0.0033333333333333335
BJ20_02,颐和园,现场服务与导览体验,0,106,6,3,5,0.9053142736465963,0.7779810692545785,300,0.252515077354387,15,0.35333333333333333,0.02,0.01,0.016666666666666666,0.05660377358490566,0.04716981132075472,0.02
BJ20_02,颐和园,票务预约与入园体验,0,52,15,7,21,0.5029592000952593,0.6341972335453819,300,0.252515077354387,15,0.17333333333333334,0.05,0.023333333333333334,0.07,0.28846153846153844,0.40384615384615385,0.05
BJ20_02,颐和园,整体满意与感知评价,1,36,5,2,7,0.733034860811119,0.626920268783221,300,0.252515077354387,15,0.12,0.016666666666666666,0.006666666666666667,0.023333333333333334,0.1388888888888889,0.19444444444444445,0.016666666666666666
BJ20_18,玉渊潭公园,交通与开放空间体验,0,81,0,0,2,0.9433096453661276,0.6441320253708158,300,0.23956759029248686,16,0.27,0.0,0.0,0.006666666666666667,0.0,0.024691358024691357,0.0
BJ20_18,玉渊潭公园,现场服务与导览体验,0,4,1,0,2,0.517616978725275,0.671705981092018,300,0.23956759029248686,16,0.013333333333333334,0.0033333333333333335,0.0,0.006666666666666667,0.25,0.5,0.0033333333333333335
BJ20_18,玉渊潭公园,票务预约与入园体验,0,149,15,14,10,0.9006761598742573,0.6678905942028593,300,0.23956759029248686,16,0.49666666666666665,0.05,0.04666666666666667,0.03333333333333333,0.10067114093959731,0.06711409395973154,0.05
BJ20_18,玉渊潭公园,整体满意与感知评价,1,33,6,4,4,0.8469026085567622,0.5844793636380314,300,0.23956759029248686,16,0.11,0.02,0.013333333333333334,0.013333333333333334,0.18181818181818182,0.12121212121212122,0.02
BJ20_04,景山公园,交通与开放空间体验,0,98,1,1,1,0.9780964448846249,0.74769283508421,300,0.2099526283541598,17,0.32666666666666666,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.01020408163265306,0.01020408163265306,0.0033333333333333335
BJ20_04,景山公园,现场服务与导览体验,0,88,2,0,4,0.9254445822816302,0.7961194991081956,300,0.2099526283541598,17,0.29333333333333333,0.006666666666666667,0.0,0.013333333333333334,0.022727272727272728,0.045454545454545456,0.006666666666666667
BJ20_04,景山公园,票务预约与入园体验,0,54,17,6,21,0.5385194157064511,0.6158318163839333,300,0.2099526283541598,17,0.18,0.056666666666666664,0.02,0.07,0.3148148148148148,0.3888888888888889,0.056666666666666664
BJ20_04,景山公园,整体满意与感知评价,1,37,6,4,6,0.7756656911669385,0.6176791640219778,300,0.2099526283541598,17,0.12333333333333334,0.02,0.013333333333333334,0.02,0.16216216216216217,0.16216216216216217,0.02
BJ20_09,居庸关长城,交通与开放空间体验,0,15,0,0,0,0.9263930641276522,0.5736774475118595,300,0.18354208567895994,18,0.05,0.0,0.0,0.0,0.0,0.0,0.0
BJ20_09,居庸关长城,现场服务与导览体验,0,14,0,0,1,0.7793490771835648,0.6269413414115557,300,0.18354208567895994,18,0.04666666666666667,0.0,0.0,0.0033333333333333335,0.0,0.07142857142857142,0.0
BJ20_09,居庸关长城,票务预约与入园体验,0,60,6,5,15,0.5642280020398537,0.6186854055111178,300,0.18354208567895994,18,0.2,0.02,0.016666666666666666,0.05,0.1,0.25,0.02
BJ20_09,居庸关长城,整体满意与感知评价,1,187,14,8,43,0.6321986806949428,0.7255053610071821,300,0.18354208567895994,18,0.6233333333333333,0.04666666666666667,0.02666666666666667,0.14333333333333334,0.0748663101604278,0.22994652406417113,0.04666666666666667
BJ20_12,红螺寺,交通与开放空间体验,0,18,2,1,1,0.8903913686847823,0.5505155707064606,300,0.1298617499432307,19,0.06,0.006666666666666667,0.0033333333333333335,0.0033333333333333335,0.1111111111111111,0.05555555555555555,0.006666666666666667
BJ20_12,红螺寺,现场服务与导览体验,0,32,0,0,3,0.7782126009013208,0.7576788083104953,300,0.1298617499432307,19,0.10666666666666667,0.0,0.0,0.01,0.0,0.09375,0.0
BJ20_12,红螺寺,票务预约与入园体验,0,110,8,7,10,0.8114576890174914,0.699013009414291,300,0.1298617499432307,19,0.36666666666666664,0.02666666666666667,0.023333333333333334,0.03333333333333333,0.07272727272727272,0.09090909090909091,0.02666666666666667
BJ20_12,红螺寺,整体满意与感知评价,1,111,8,5,15,0.7792154651019458,0.7422563062770845,300,0.1298617499432307,19,0.37,0.02666666666666667,0.016666666666666666,0.05,0.07207207207207207,0.13513513513513514,0.02666666666666667
BJ20_13,首都博物馆,交通与开放空间体验,0,126,0,0,2,0.9293486490307872,0.6967663456828826,300,0.04759689922480621,20,0.42,0.0,0.0,0.006666666666666667,0.0,0.015873015873015872,0.0
BJ20_13,首都博物馆,现场服务与导览体验,0,71,5,3,6,0.8164911117158156,0.7197491834735525,300,0.04759689922480621,20,0.23666666666666666,0.016666666666666666,0.01,0.02,0.07042253521126761,0.08450704225352113,0.016666666666666666
BJ20_13,首都博物馆,票务预约与入园体验,0,37,5,1,8,0.6612532395769936,0.6088983352755977,300,0.04759689922480621,20,0.12333333333333334,0.016666666666666666,0.0033333333333333335,0.02666666666666667,0.13513513513513514,0.21621621621621623,0.016666666666666666
BJ20_13,首都博物馆,整体满意与感知评价,1,37,1,1,4,0.8078208901124346,0.556981979278645,300,0.04759689922480621,20,0.12333333333333334,0.0033333333333333335,0.0033333333333333335,0.013333333333333334,0.02702702702702703,0.10810810810810811,0.0033333333333333335
